r0(0) , r0(1) , r0(2) , r0(3) , r0(4) , r1(0) , r1(1) , r1(2) , r1(3) , r1(4) , r2(0) , r2(1) , r2(2) , r2(3) , r2(4) , r3(0) , r3(1) , r3(2) , r3(3) , r3(4) , r4(0) , r4(1) , r4(2) , r4(3) , r4(4) , r5(0) , r5(1) , r5(2) , r5(3) , r5(4) , r6(0) , r6(1) , r6(2) , r6(3) , r6(4) , r7(0) , r7(1) , r7(2) , r7(3) , r7(4) , r8(0) , r8(1) , r8(2) , r8(3) , r8(4) , r9(0) , r9(1) , r9(2) , r9(3) , r9(4) , r10(0) , r10(1) , r10(2) , r10(3) , r10(4) , r11(0) , r11(1) , r11(2) , r11(3) , r11(4) ,
-0.182491945245 , -0.04 , -0.04 , -0.04 , -0.04 , -0.1269091257 , -0.04 , -0.04 , -0.04 , -0.04 , -0.0694446347167 , -0.04 , -0.04 , -0.04 , -0.04 , 0 , 0 , 0 , 0 , 0 , -0.227372749823 , -0.04 , -0.04 , -0.04 , -0.04 , -0.186746885483 , -0.04 , -0.04 , -0.04 , -0.04 , -0.225064192359 , -0.04 , -0.04 , -0.04 , -0.04 , 0 , 0 , 0 , 0 , 0 , -0.273773455684 , -0.04 , -0.04 , -0.04 , -0.04 , -0.245490715917 , -0.04 , -0.04 , -0.04 , -0.04 , -0.287593613169 , -0.04 , -0.04 , -0.04 , -0.04 , -0.29998851656 , -0.04 , -0.04 , -0.04 , -0.04 ,
x0(0) , x0(1) , x0(2) , x0(3) , x0(4) , x1(0) , x1(1) , x1(2) , x1(3) , x1(4) , x2(0) , x2(1) , x2(2) , x2(3) , x2(4) , x3(0) , x3(1) , x3(2) , x3(3) , x3(4) , x4(0) , x4(1) , x4(2) , x4(3) , x4(4) , x5(0) , x5(1) , x5(2) , x5(3) , x5(4) , x6(0) , x6(1) , x6(2) , x6(3) , x6(4) , x7(0) , x7(1) , x7(2) , x7(3) , x7(4) , x8(0) , x8(1) , x8(2) , x8(3) , x8(4) , x9(0) , x9(1) , x9(2) , x9(3) , x9(4) , x10(0) , x10(1) , x10(2) , x10(3) , x10(4) , x11(0) , x11(1) , x11(2) , x11(3) , x11(4) ,
0.999935982396, 0.1, 0.9, 0.1, 0.9,  -3.5956175292e-05, -0.1, -0.1, -0.8, 0.0,  -1.8304319337e-05, 0.0, 0.0, 0.0, 0.0,  0.0, 0.0, 0.0, 0.0, 0.0,  -9.6621262697e-05, -0.8, 0.0, -0.1, -0.1,  -7.0623653807e-05, 0.0, 0.0, 0.0, 0.0,  -0.000109747081177, 0.0, 0.0, 0.0, 0.0,  0.0, 0.0, 0.0, 0.0, 0.0,  -0.000150126216148, 0.0, 0.0, 0.0, 0.0,  -0.000128494802006, 0.0, 0.0, 0.0, 0.0,  -0.000189710743911, 0.0, 0.0, 0.0, 0.0,  -0.00025146403471, 0.0, 0.0, 0.0, 0.0, 
-6.4017604218e-05, -0.1, -0.1, 0.0, -0.8,  0.999964043825, 0.2, 1.0, 0.9, 0.9,  -1.8304319337e-05, -0.1, -0.1, -0.8, 0.0,  0.0, 0.0, 0.0, 0.0, 0.0,  -9.6621262697e-05, 0.0, 0.0, 0.0, 0.0,  -7.0623653807e-05, -0.8, 0.0, -0.1, -0.1,  -0.000109747081177, 0.0, 0.0, 0.0, 0.0,  0.0, 0.0, 0.0, 0.0, 0.0,  -0.000150126216148, 0.0, 0.0, 0.0, 0.0,  -0.000128494802006, 0.0, 0.0, 0.0, 0.0,  -0.000189710743911, 0.0, 0.0, 0.0, 0.0,  -0.00025146403471, 0.0, 0.0, 0.0, 0.0, 
-6.4017604218e-05, 0.0, 0.0, 0.0, 0.0,  -3.5956175292e-05, -0.1, -0.1, 0.0, -0.8,  0.999981695681, 0.2, 1.0, 0.9, 0.9,  0.0, 0.0, 0.0, 0.0, 0.0,  -9.6621262697e-05, 0.0, 0.0, 0.0, 0.0,  -7.0623653807e-05, 0.0, 0.0, 0.0, 0.0,  -0.000109747081177, -0.8, 0.0, -0.1, -0.1,  0.0, 0.0, 0.0, 0.0, 0.0,  -0.000150126216148, 0.0, 0.0, 0.0, 0.0,  -0.000128494802006, 0.0, 0.0, 0.0, 0.0,  -0.000189710743911, 0.0, 0.0, 0.0, 0.0,  -0.00025146403471, 0.0, 0.0, 0.0, 0.0, 
-1.00006502162, 0.0, 0.0, 0.0, 0.0,  -1.00003648644, 0.0, 0.0, 0.0, 0.0,  -1.00001859484, -0.1, -0.1, 0.0, -0.8,  0.0, 0.0, 0.0, 0.0, 0.0,  -1.00009806025, 0.0, 0.0, 0.0, 0.0,  -1.00007174579, 0.0, 0.0, 0.0, 0.0,  -1.00011134525, 0.0, 0.0, 0.0, 0.0,  0.0, 0.0, 0.0, 0.0, 0.0,  -1.00015247192, 0.0, 0.0, 0.0, 0.0,  -1.00013037222, 0.0, 0.0, 0.0, 0.0,  -1.00019271475, 0.0, 0.0, 0.0, 0.0,  -0.889144070642, 0.0, 0.0, 0.0, 0.0, 
-6.4017604218e-05, 0.0, -0.8, -0.1, -0.1,  -3.5956175292e-05, 0.0, 0.0, 0.0, 0.0,  -1.8304319337e-05, 0.0, 0.0, 0.0, 0.0,  0.0, 0.0, 0.0, 0.0, 0.0,  0.999903378737, 0.9, 0.9, 0.2, 1.0,  -7.0623653807e-05, -0.1, -0.1, -0.8, 0.0,  -0.000109747081177, 0.0, 0.0, 0.0, 0.0,  0.0, 0.0, 0.0, 0.0, 0.0,  -0.000150126216148, -0.8, 0.0, -0.1, -0.1,  -0.000128494802006, 0.0, 0.0, 0.0, 0.0,  -0.000189710743911, 0.0, 0.0, 0.0, 0.0,  -0.00025146403471, 0.0, 0.0, 0.0, 0.0, 
-6.4017604218e-05, 0.0, 0.0, 0.0, 0.0,  -3.5956175292e-05, 0.0, -0.8, -0.1, -0.1,  -1.8304319337e-05, 0.0, 0.0, 0.0, 0.0,  0.0, 0.0, 0.0, 0.0, 0.0,  -9.6621262697e-05, -0.1, -0.1, 0.0, -0.8,  0.999929376346, 1.0, 1.0, 1.0, 1.0,  -0.000109747081177, -0.1, -0.1, -0.8, 0.0,  0.0, 0.0, 0.0, 0.0, 0.0,  -0.000150126216148, 0.0, 0.0, 0.0, 0.0,  -0.000128494802006, -0.8, 0.0, -0.1, -0.1,  -0.000189710743911, 0.0, 0.0, 0.0, 0.0,  -0.00025146403471, 0.0, 0.0, 0.0, 0.0, 
-6.4017604218e-05, 0.0, 0.0, 0.0, 0.0,  -3.5956175292e-05, 0.0, 0.0, 0.0, 0.0,  -1.8304319337e-05, 0.0, -0.8, -0.1, -0.1,  0.0, 0.0, 0.0, 0.0, 0.0,  -9.6621262697e-05, 0.0, 0.0, 0.0, 0.0,  -7.0623653807e-05, -0.1, -0.1, 0.0, -0.8,  0.999890252919, 1.0, 1.0, 1.0, 1.0,  0.0, 0.0, 0.0, 0.0, 0.0,  -0.000150126216148, 0.0, 0.0, 0.0, 0.0,  -0.000128494802006, 0.0, 0.0, 0.0, 0.0,  -0.000189710743911, -0.8, 0.0, -0.1, -0.1,  -0.00025146403471, 0.0, 0.0, 0.0, 0.0, 
-6.4017604218e-05, 0.0, 0.0, 0.0, 0.0,  -3.5956175292e-05, 0.0, 0.0, 0.0, 0.0,  -1.8304319337e-05, 0.0, 0.0, 0.0, 0.0,  0.0, 0.0, 0.0, 0.0, 0.0,  -9.6621262697e-05, 0.0, 0.0, 0.0, 0.0,  -7.0623653807e-05, 0.0, 0.0, 0.0, 0.0,  -0.000109747081177, -0.1, -0.1, 0.0, -0.8,  0.0, 0.0, 0.0, 0.0, 0.0,  -0.000150126216148, 0.0, 0.0, 0.0, 0.0,  -0.000128494802006, 0.0, 0.0, 0.0, 0.0,  -0.000189710743911, 0.0, 0.0, 0.0, 0.0,  -0.111362575146, -0.8, 0.0, -0.1, -0.1, 
-6.4017604218e-05, 0.0, 0.0, 0.0, 0.0,  -3.5956175292e-05, 0.0, 0.0, 0.0, 0.0,  -1.8304319337e-05, 0.0, 0.0, 0.0, 0.0,  0.0, 0.0, 0.0, 0.0, 0.0,  -9.6621262697e-05, 0.0, -0.8, -0.1, -0.1,  -7.0623653807e-05, 0.0, 0.0, 0.0, 0.0,  -0.000109747081177, 0.0, 0.0, 0.0, 0.0,  0.0, 0.0, 0.0, 0.0, 0.0,  0.999849873784, 0.9, 0.1, 0.1, 0.9,  -0.000128494802006, -0.1, -0.1, -0.8, 0.0,  -0.000189710743911, 0.0, 0.0, 0.0, 0.0,  -0.00025146403471, 0.0, 0.0, 0.0, 0.0, 
-6.4017604218e-05, 0.0, 0.0, 0.0, 0.0,  -3.5956175292e-05, 0.0, 0.0, 0.0, 0.0,  -1.8304319337e-05, 0.0, 0.0, 0.0, 0.0,  0.0, 0.0, 0.0, 0.0, 0.0,  -9.6621262697e-05, 0.0, 0.0, 0.0, 0.0,  -7.0623653807e-05, 0.0, -0.8, -0.1, -0.1,  -0.000109747081177, 0.0, 0.0, 0.0, 0.0,  0.0, 0.0, 0.0, 0.0, 0.0,  -0.000150126216148, -0.1, -0.1, 0.0, -0.8,  0.999871505198, 1.0, 0.2, 0.9, 0.9,  -0.000189710743911, -0.1, -0.1, -0.8, 0.0,  -0.00025146403471, 0.0, 0.0, 0.0, 0.0, 
-6.4017604218e-05, 0.0, 0.0, 0.0, 0.0,  -3.5956175292e-05, 0.0, 0.0, 0.0, 0.0,  -1.8304319337e-05, 0.0, 0.0, 0.0, 0.0,  0.0, 0.0, 0.0, 0.0, 0.0,  -9.6621262697e-05, 0.0, 0.0, 0.0, 0.0,  -7.0623653807e-05, 0.0, 0.0, 0.0, 0.0,  -0.000109747081177, 0.0, -0.8, -0.1, -0.1,  0.0, 0.0, 0.0, 0.0, 0.0,  -0.000150126216148, 0.0, 0.0, 0.0, 0.0,  -0.000128494802006, -0.1, -0.1, 0.0, -0.8,  0.999810289256, 1.0, 0.2, 0.9, 0.9,  -0.00025146403471, -0.1, -0.1, -0.8, 0.0, 
-6.4017604218e-05, 0.0, 0.0, 0.0, 0.0,  -3.5956175292e-05, 0.0, 0.0, 0.0, 0.0,  -1.8304319337e-05, 0.0, 0.0, 0.0, 0.0,  0.0, 0.0, 0.0, 0.0, 0.0,  -9.6621262697e-05, 0.0, 0.0, 0.0, 0.0,  -7.0623653807e-05, 0.0, 0.0, 0.0, 0.0,  -0.000109747081177, 0.0, 0.0, 0.0, 0.0,  0.0, 0.0, 0.0, 0.0, 0.0,  -0.000150126216148, 0.0, 0.0, 0.0, 0.0,  -0.000128494802006, 0.0, 0.0, 0.0, 0.0,  -0.000189710743911, -0.1, -0.1, 0.0, -0.8,  0.999748535965, 0.9, 0.1, 0.9, 0.1, 
